fips,county,pop_total,pop_margin,male_total,male_error,female_total,female_error
8059,"Jefferson County, Colorado",282350,2169,148608,1370,133742,1513
8061,"Kiowa County, Colorado",688,80,346,49,342,62
8063,"Kit Carson County, Colorado",3505,447,2035,419,1470,114
8065,"Lake County, Colorado",3997,345,2399,224,1598,240
8067,"La Plata County, Colorado",26524,643,13932,423,12592,433
8069,"Larimer County, Colorado",156205,1689,82975,1278,73230,1070
8071,"Las Animas County, Colorado",6156,307,3452,253,2704,167
8073,"Lincoln County, Colorado",1640,335,700,316,940,72
8075,"Logan County, Colorado",10450,558,6262,422,4188,333
8077,"Mesa County, Colorado",66035,1154,35229,898,30806,704
8079,"Mineral County, Colorado",327,71,171,41,156,44
8081,"Moffat County, Colorado",6477,315,3822,184,2655,233
8083,"Montezuma County, Colorado",10940,425,5721,313,5219,303
8085,"Montrose County, Colorado",17155,546,9074,324,8081,404
8087,"Morgan County, Colorado",12922,381,7286,271,5636,256
8089,"Otero County, Colorado",7219,353,3725,245,3494,243
8091,"Ouray County, Colorado",2084,164,1103,141,981,125
8093,"Park County, Colorado",8824,408,4926,290,3898,287
8095,"Phillips County, Colorado",2020,140,1174,108,846,107
8097,"Pitkin County, Colorado",9946,419,5459,306,4487,268
8099,"Prowers County, Colorado",5311,321,2838,252,2473,165
8101,"Pueblo County, Colorado",64429,1178,32871,832,31558,745
8103,"Rio Blanco County, Colorado",3312,141,1887,106,1425,127
8105,"Rio Grande County, Colorado",4810,287,2461,225,2349,181
8107,"Routt County, Colorado",13377,431,7298,317,6079,253
8109,"Saguache County, Colorado",2563,161,1370,111,1193,110
8111,"San Juan County, Colorado",366,63,251,55,115,31
8113,"San Miguel County, Colorado",4370,197,2427,138,1943,116
8115,"Sedgwick County, Colorado",1031,71,538,60,493,55
8117,"Summit County, Colorado",17351,619,10174,405,7177,476
8119,"Teller County, Colorado",11352,470,6010,319,5342,315
8121,"Washington County, Colorado",2113,111,1167,88,946,67
8123,"Weld County, Colorado",123784,1294,68072,930,55712,861
8125,"Yuma County, Colorado",4742,208,2581,146,2161,169
9001,"Fairfield County, Connecticut",445551,2984,238318,1872,207233,1895
9003,"Hartford County, Connecticut",426661,2578,217623,1722,209038,1845
9005,"Litchfield County, Connecticut",96278,1143,49691,801,46587,711
9007,"Middlesex County, Connecticut",85908,1161,44140,773,41768,817
9009,"New Haven County, Connecticut",408870,2602,204536,1642,204334,1985
9011,"New London County, Connecticut",137534,1495,74248,1055,63286,889
9013,"Tolland County, Connecticut",77492,991,40402,732,37090,634
9015,"Windham County, Connecticut",56504,968,29167,682,27337,703
10001,"Kent County, Delaware",74485,1071,38192,835,36293,720
10003,"New Castle County, Delaware",259305,1920,130159,1508,129146,1192
10005,"Sussex County, Delaware",86209,1395,44821,905,41388,850
11001,"District of Columbia, District of Columbia",323242,2149,157912,1518,165330,1771
12001,"Alachua County, Florida",112605,1746,56062,1300,56543,1253
12003,"Baker County, Florida",9760,622,5057,360,4703,431
12005,"Bay County, Florida",77277,1347,40904,990,36373,980
12007,"Bradford County, Florida",9096,547,4757,396,4339,434
12009,"Brevard County, Florida",223352,2317,116976,1494,106376,1503
12011,"Broward County, Florida",850651,5165,440818,3259,409833,3544
12013,"Calhoun County, Florida",4533,405,2345,268,2188,238
12015,"Charlotte County, Florida",53037,1243,26561,801,26476,772
12017,"Citrus County, Florida",42893,1188,21463,802,21430,864
12019,"Clay County, Florida",83758,1628,44504,1140,39254,1243
12021,"Collier County, Florida",133282,2116,71803,1394,61479,1466
12023,"Columbia County, Florida",24098,1005,12118,667,11980,613
12027,"DeSoto County, Florida",12079,570,7709,452,4370,320
12029,"Dixie County, Florida",4979,450,2653,307,2326,266
12031,"Duval County, Florida",403203,2954,207962,1790,195241,2482
12033,"Escambia County, Florida",134469,1690,71600,1263,62869,1246
12035,"Flagler County, Florida",34244,1135,17399,637,16845,762
12037,"Franklin County, Florida",4078,361,2041,312,2037,166
12039,"Gadsden County, Florida",16526,751,8577,598,7949,410
12041,"Gilchrist County, Florida",5907,405,3146,243,2761,286
12043,"Glades County, Florida",3874,421,2033,257,1841,304
12045,"Gulf County, Florida",5449,397,3223,355,2226,236
12047,"Hamilton County, Florida",3931,398,1876,303,2055,223
12049,"Hardee County, Florida",9264,586,5596,436,3668,314
12051,"Hendry County, Florida",13890,778,7960,632,5930,413
12053,"Hernando County, Florida",55734,1333,27961,819,27773,911
12055,"Highlands County, Florida",29996,945,15428,645,14568,657
12057,"Hillsborough County, Florida",588668,3942,306353,2744,282315,2827
12059,"Holmes County, Florida",6139,378,3249,246,2890,264
12061,"Indian River County, Florida",51606,1081,26606,752,25000,725
12063,"Jackson County, Florida",15491,759,7932,566,7559,452
12065,"Jefferson County, Florida",4979,380,2386,277,2593,202
12067,"Lafayette County, Florida",2981,440,1938,414,1043,151
12069,"Lake County, Florida",116915,1862,61055,1158,55860,1499
12071,"Lee County, Florida",248988,2779,129145,1761,119843,1971
12073,"Leon County, Florida",134743,1652,66750,1203,67993,1238
12075,"Levy County, Florida",13320,568,7012,413,6308,422
12077,"Liberty County, Florida",2715,257,1554,211,1161,192
12079,"Madison County, Florida",6009,317,3322,247,2687,239
12081,"Manatee County, Florida",134739,1592,69905,1093,64834,1293
12083,"Marion County, Florida",113803,2131,58256,1453,55547,1432
12085,"Martin County, Florida",58836,1280,31241,1067,27595,799
12086,"Miami-Dade County, Florida",1150052,5908,606123,4336,543929,3601
12087,"Monroe County, Florida",37670,999,21127,713,16543,665
12089,"Nassau County, Florida",30976,952,17047,631,13929,592
12091,"Okaloosa County, Florida",89305,1552,50269,1170,39036,913
12093,"Okeechobee County, Florida",13055,630,7557,473,5498,415
12095,"Orange County, Florida",573893,4353,299623,2728,274270,2932
12097,"Osceola County, Florida",123452,1868,64329,1491,59123,1429
12099,"Palm Beach County, Florida",591057,3369,312634,2334,278423,2600
12101,"Pasco County, Florida",180676,2227,92423,1536,88253,1567
12103,"Pinellas County, Florida",410423,2740,206562,2014,203861,1832
12105,"Polk County, Florida",236739,2416,123326,1574,113413,1767
12107,"Putnam County, Florida",24145,954,12754,650,11391,606
12109,"St. Johns County, Florida",92260,1783,50254,1037,42006,1244
12111,"St. Lucie County, Florida",107545,2125,55495,1466,52050,1513
12113,"Santa Rosa County, Florida",67729,1297,37944,951,29785,928
12115,"Sarasota County, Florida",149545,1559,75583,1149,73962,1275
12117,"Seminole County, Florida",202589,2370,105233,1633,97356,1573
12119,"Sumter County, Florida",21034,992,10677,803,10357,580
12121,"Suwannee County, Florida",15278,707,8980,620,6298,477
12123,"Taylor County, Florida",7134,521,3813,425,3321,318
12125,"Union County, Florida",4222,327,2364,232,1858,144
12127,"Volusia County, Florida",192668,2506,98930,1699,93738,1660
12129,"Wakulla County, Florida",12693,649,6916,513,5777,373
12131,"Walton County, Florida",24149,775,12487,596,11662,600
12133,"Washington County, Florida",8371,479,4511,334,3860,295
13001,"Appling County, Georgia",7341,406,4203,268,3138,278
13003,"Atkinson County, Georgia",3125,196,1872,145,1253,129
13005,"Bacon County, Georgia",4445,366,2321,283,2124,241
13007,"Baker County, Georgia",1289,161,607,112,682,122
13009,"Baldwin County, Georgia",16073,766,7575,530,8498,525
13011,"Banks County, Georgia",7882,335,4436,236,3446,224
13013,"Barrow County, Georgia",30860,796,16474,588,14386,540
13015,"Bartow County, Georgia",42957,983,22969,764,19988,738
13017,"Ben Hill County, Georgia",5829,474,3030,323,2799,236
13019,"Berrien County, Georgia",6549,402,3822,258,2727,259
13021,"Bibb County, Georgia",57979,1292,28227,860,29752,908
13023,"Bleckley County, Georgia",4064,308,1899,194,2165,216
13025,"Brantley County, Georgia",6413,430,3376,291,3037,360
13027,"Brooks County, Georgia",5508,291,3000,200,2508,229
13029,"Bryan County, Georgia",14923,420,8302,307,6621,306
13031,"Bulloch County, Georgia",29867,895,15817,672,14050,545
13033,"Burke County, Georgia",8382,419,4080,327,4302,272
13035,"Butts County, Georgia",8473,536,4532,357,3941,379
13037,"Calhoun County, Georgia",2292,410,1226,192,1066,293
13039,"Camden County, Georgia",23231,622,13802,411,9429,493
13043,"Candler County, Georgia",4189,301,2167,203,2022,210
13045,"Carroll County, Georgia",46065,1355,25633,833,20432,851
13047,"Catoosa County, Georgia",29386,808,15054,571,14332,595
13049,"Charlton County, Georgia",4179,455,2405,332,1774,226
13051,"Chatham County, Georgia",122787,1900,63831,1173,58956,1283
13053,"Chattahoochee County, Georgia",6429,309,5442,254,987,206
13055,"Chattooga County, Georgia",8577,482,4761,347,3816,263
13057,"Cherokee County, Georgia",104672,1552,57079,1010,47593,1224
13059,"Clarke County, Georgia",51235,1191,26007,882,25228,836
13061,"Clay County, Georgia",815,163,458,123,357,79
13063,"Clayton County, Georgia",108088,1623,53911,1057,54177,1348
13065,"Clinch County, Georgia",2263,211,1168,187,1095,125
13067,"Cobb County, Georgia",351795,2214,185377,1613,166418,1805
13069,"Coffee County, Georgia",15257,802,8226,630,7031,461
13071,"Colquitt County, Georgia",17857,697,9528,489,8329,473
13073,"Columbia County, Georgia",60047,1026,32430,675,27617,843
13075,"Cook County, Georgia",6941,299,3556,177,3385,242
13077,"Coweta County, Georgia",59285,1158,32593,711,26692,864
13079,"Crawford County, Georgia",4984,328,2703,230,2281,246
13081,"Crisp County, Georgia",8549,541,4116,333,4433,401
13083,"Dade County, Georgia",7299,401,3853,243,3446,287
13085,"Dawson County, Georgia",9604,533,5394,323,4210,405
13087,"Decatur County, Georgia",9976,596,5041,505,4935,371
13089,"DeKalb County, Georgia",327763,2499,165031,1856,162732,2006
13091,"Dodge County, Georgia",7808,453,4148,305,3660,271
13093,"Dooly County, Georgia",4508,803,2357,735,2151,225
13095,"Dougherty County, Georgia",33428,847,16032,580,17396,611
13097,"Douglas County, Georgia",58447,1294,30530,917,27917,967
13099,"Early County, Georgia",3793,206,1868,156,1925,169
13101,"Echols County, Georgia",1748,191,1068,125,680,119
13103,"Effingham County, Georgia",24244,791,13047,522,11197,464
13105,"Elbert County, Georgia",7208,421,3591,256,3617,313
13107,"Emanuel County, Georgia",7870,500,4077,349,3793,269
13109,"Evans County, Georgia",3821,315,2168,244,1653,177
13111,"Fannin County, Georgia",8164,496,4237,299,3927,306
13113,"Fayette County, Georgia",48012,926,25632,566,22380,632
13115,"Floyd County, Georgia",38202,922,19367,676,18835,613
13117,"Forsyth County, Georgia",86460,1220,48146,831,38314,900
13119,"Franklin County, Georgia",8064,426,4404,309,3660,279
13121,"Fulton County, Georgia",448780,3186,236556,2193,212224,2427
13123,"Gilmer County, Georgia",10348,511,5839,390,4509,344
13125,"Glascock County, Georgia",1275,97,694,54,581,88
13127,"Glynn County, Georgia",34525,903,17472,579,17053,606
13129,"Gordon County, Georgia",23012,768,12908,509,10104,558
13131,"Grady County, Georgia",8678,517,4813,360,3865,306
13133,"Greene County, Georgia",5603,312,2915,241,2688,203
13135,"Gwinnett County, Georgia",389038,3238,208948,2258,180090,2008
13137,"Habersham County, Georgia",16392,656,8831,448,7561,469
13139,"Hall County, Georgia",80594,1290,44319,886,36275,963
13141,"Hancock County, Georgia",2217,312,994,281,1223,160
13143,"Haralson County, Georgia",10836,538,5978,358,4858,352
13145,"Harris County, Georgia",14928,626,8050,348,6878,493
13147,"Hart County, Georgia",9715,545,5190,404,4525,348
13149,"Heard County, Georgia",4365,325,2224,210,2141,229
13151,"Henry County, Georgia",89422,1819,44628,1258,44794,1206
13153,"Houston County, Georgia",63348,1250,33535,943,29813,961
13155,"Irwin County, Georgia",3122,296,1697,189,1425,195
